app,branch,latest tag,commits since tag
charmcraft,main,3.1.2,83
charmcraft,hotfix/2.7,2.7.1,0
charmcraft,hotfix/3.1,3.1.2,0
charmcraft,renovate/hotfix/2.7-attrs-23.x,2.7.1,1
charmcraft,renovate/hotfix/2.7-bugfixes,2.7.1,1
charmcraft,renovate/hotfix/2.7-cachetools-5.x,2.7.1,1
charmcraft,renovate/hotfix/2.7-certifi-2023.x,2.7.1,1
charmcraft,renovate/hotfix/2.7-cffi-1.x,2.7.1,1
charmcraft,renovate/hotfix/2.7-codespell-2.x,2.7.1,1
charmcraft,renovate/hotfix/2.7-coverage-7.x,2.7.1,1
charmcraft,renovate/hotfix/2.7-craft-cli-2.x,2.7.1,1
charmcraft,renovate/hotfix/2.7-craft-parts-1.x,2.7.1,1
charmcraft,renovate/hotfix/2.7-craft-providers-1.x,2.7.1,1
charmcraft,renovate/hotfix/2.7-craft-store-2.x,2.7.1,1
charmcraft,renovate/hotfix/2.7-distro-1.x,2.7.1,1
charmcraft,renovate/hotfix/2.7-major-github-actions,2.7.1,1
charmcraft,renovate/hotfix/2.7-pydantic-etc,2.7.1,1
rockcraft,main,1.5.3,38
rockcraft,hotfix/1.3,1.3.2,0
rockcraft,hotfix/1.5,1.5.3,0
snapcraft,main,8.3.2,59
snapcraft,hotfix/7.5,7.5.6,0
snapcraft,hotfix/8.3,8.3.2,1
snapcraft,renovate/hotfix/8.3-pypi-setuptools-vulnerability,8.3.2,2
